"company_permalink","company_name","company_category_code","company_country_code","company_state_code","company_region","company_city","investor_permalink","investor_name","investor_category_code","investor_country_code","investor_state_code","investor_region","investor_city","funding_round_type","funded_at","funded_month","funded_quarter","funded_year","raised_amount_usd","id"
"/company/lovely","Lovely","real_estate","USA","CA","SF Bay","San Francisco","/company/3taps","3taps","web","USA","CA","SF Bay","San Francisco","series-a","10/1/12","2012-10","2012-Q4",2012.0,2000000.0,31
"/company/myfairpartner","myFairPartner","consulting","GBR",,"London","London","/company/3u-holding-ag","3U HOLDING AG",,,,"unknown",,"angel","1/1/09","2009-01","2009-Q1",2009.0,620969.0,32
"/company/birthdayslam-com","Birthday Slam","health","CAN",,"Toronto","Toronto","/company/3w-capital","3W Capital",,,,"unknown",,"angel","10/1/10","2010-10","2010-Q4",2010.0,100000.0,33
"/company/peertransfer","peerTransfer","finance","USA","MA","Boston","Boston","/company/500-hats","500 Hats",,"USA","CA","SF Bay","Palo Alto","angel","10/28/10","2010-10","2010-Q4",2010.0,1100000.0,34
"/company/51intern-com-2","51intern.com �����_�_�","social","CHN",,"Putuo District","Putuo District, Shanghai","/company/51intern-consulting","51intern Consulting",,,,"unknown",,"angel","11/1/10","2010-11","2010-Q4",2010.0,,35
"/company/buzzoole","Buzzoole","advertising","ITA",,"Naples","Naples","/company/56cube","56CUBE","other","ITA",,"Fisciano","Fisciano (SA)","angel","11/12/13","2013-11","2013-Q4",2013.0,231588.0,36
"/company/intertwine","Intertwine","web","ITA",,"TBD","Fisciano","/company/56cube","56CUBE","other","ITA",,"Fisciano","Fisciano (SA)","venture","12/5/13","2013-12","2013-Q4",2013.0,141526.0,37
"/company/kartrocket","KartRocket","ecommerce","IND",,"New Delhi","New Delhi","/company/5ideas-in","5ideas.in","other","IND",,"Gurgaon","Gurgaon, Haryana","angel","7/23/13","2013-07","2013-Q3",2013.0,,38
"/company/viss","Viss","ecommerce","HKG",,"Quarry Bay","Quarry Bay","/company/8-plus-holding","8 Plus Holding",,,,"unknown",,"angel","5/20/13","2013-05","2013-Q2",2013.0,,39
"/company/sfilatino","sfilatino","ecommerce","ITA",,"Milano","milano","/company/99-fahrenheit","99 Fahrenheit","finance","ITA",,"Milano","Milano","angel","2/20/12","2012-02","2012-Q1",2012.0,100000.0,40
"/company/spotdock","spotdock","web","USA","NY","New York","NYC","/company/9mmedia-llc","9mmedia, LLC",,,,"unknown",,"angel","1/10/12","2012-01","2012-Q1",2012.0,600000.0,41
"/company/ag-p","AG&P","cleantech","PHL",,"TBD","Muntinlupa City,","/company/a-soriano-corporation","A. Soriano Corporation","finance","PHL",,"Makati","Makati","series-c+","7/2/13","2013-07","2013-Q3",2013.0,5.3E7,42
"/company/azure-solutions","Azure Solutions","software","GBR",,"London","London","/company/a-g-edwards-sons","A.G. Edwards & Sons",,"USA","MO","Saint Louis","St. Louis","venture","6/16/05","2005-06","2005-Q2",2005.0,1.5E7,43
"/company/fisker","Fisker Automotive","automotive","USA","CA","Los Angeles","Irvine","/company/a123systems","A123 Systems","nanotech","USA","MA","Boston","Watertown","private-equity","5/1/10","2010-05","2010-Q2",2010.0,1.89E8,44
"/company/fisker","Fisker Automotive","automotive","USA","CA","Los Angeles","Irvine","/company/a123systems","A123 Systems","nanotech","USA","MA","Boston","Watertown","private-equity","2/22/11","2011-02","2011-Q1",2011.0,1.5E8,45
"/company/metroflats-com","MetroFlats.com","travel","USA","NJ","Cedar Grove","Cedar Grove","/company/aa-investments","AA Investments",,"BMU",,"Bermuda - Other",,"angel","8/18/10","2010-08","2010-Q3",2010.0,,46
"/company/sportsetter","SportSetter","health","FIN",,"Helsinki","Helsinki","/company/aalto-start-up-center","Aalto Start Up Center",,,,"unknown",,"angel","6/1/12","2012-06","2012-Q2",2012.0,67000.0,47
"/company/peerz","Peerz","web","NLD",,"Amsterdam","Amsterdam","/company/aamigoo-com","AamigoO.com",,,,"unknown",,"angel","1/14/10","2010-01","2010-Q1",2010.0,144860.0,48
"/company/mesocoat","MesoCoat","nanotech","USA","OH","Cleveland","Euclid","/company/abakan-inc","Abakan","cleantech","USA","FL","Miami","Miami","venture","12/14/09","2009-12","2009-Q4",2009.0,,49
"/company/trilliant","Trilliant","hardware","USA","CA","SF Bay","Redwood City","/company/abb","ABB","cleantech","CHE",,"Zurich","Zurich","series-b","7/15/10","2010-07","2010-Q3",2010.0,1.06E8,50
"/company/power-assure","Power Assure","network_hosting","USA","CA","SF Bay","Santa Clara","/company/abb","ABB","cleantech","CHE",,"Zurich","Zurich","venture","9/20/10","2010-09","2010-Q3",2010.0,1500000.0,51
